,kategori,kategori_kod
726,xbox-one-aksesuar,80229017.0
727,oyuncu-laptoplari,95583.0
728,bilgisayar-oyunlari,10278.0
729,oyuncu-masaustu-bilgisayarlari,95582.0
730,oyuncu-donanimlari,499.0
731,klavyeler,1.0
732,mouse,52.0
733,kulakliklar,520.0
734,direksiyon-seti,80229026.0
735,pc-joystick-gamepad,33000240.0
736,giyim-ayakkabi,2147483636.0
737,,
738,bayan-giyim-modelleri,12087178.0
739,bayan-kol-saatleri,25008405.0
740,erkek-giyim-modelleri,12087177.0
741,erkek-kol-saatleri,25008404.0
742,kulce-ziynet-cumhuriyet-altinlari,530175.0
743,outdoor-giyim-ayakkabilar,22006250.0
744,,
745,cocuk-giyim-kiyafetleri,60002723.0
746,,
747,bayan-giyim-urunleri,60004640.0
748,hamile-giyim,18001.0
749,spor-giyim-urunleri,60000545.0
750,buyuk-beden,12087217.0
751,tesettur-giyim,60006034.0
752,ic-giyim-urunleri,60001585.0
753,plaj-giyim-urunleri,60005259.0
754,,
755,bayan-kol-saatleri,25008405.0
756,,
757,kadin-takilari,80586080.0
758,,
759,erkek-giyim-urunleri,60004641.0
760,spor-giyim-urunleri,60000545.0
761,outdoor-giyim-ayakkabilar,22006250.0
762,,
763,erkek-ic-giyim-urunleri,60001586.0
764,sort-mayo,12087307.0
765,erkek-pijamalar,60000694.0
766,erkek-kol-saatleri,25008404.0
767,,
768,erkek-takilar,60004716.0
769,pipo-sigara-tesbih-cakmak-aksesuarlari,25000094.0
770,bayan-ayakkabilar,60000116.0
771,ayakkabi,60000117.0
772,gunluk-spor-ayakkabilari,27045582.0
773,yuruyus-kosu-ayakkabilari,27047262.0
774,bayan-cantalari,60000163.0
775,erkek-cantalar,60003896.0
776,bavullar-valizler,1300939.0
777,kiz-cocuk,205474.0
778,erkek-cocuk,205454.0
779,bebek-kiyafetleri-giyim,60007347.0
780,cocuk-ayakkabilar,60002362.0
781,erkek-cocuk-ayakkabi,205719.0
782,patik-ayakkabi,60000161.0
783,mutfak-gerecleri,22500.0
784,ev-gerecleri,60002911.0
785,mobilyalar,18021299.0
786,elektrik-aydinlatma-urunleri,13003201.0
787,ev-tekstili,2147483618.0
788,dekorasyon,18021300.0
789,yataklar,511123.0
790,ofis-mobilyalari,15312.0
791,kirtasiye-ofis-urunleri,2147483643.0
792,banyolar,455418.0
793,elektrikli-ev-aletleri,17071.0
794,,
795,,
796,,
797,,
798,,
799,pisirme,80667013.0
800,sofra-servis-sunum,80667016.0
801,catal-kasik-bicak-takimlari,235155.0
802,caydanlik-cezveler,22530.0
803,yemek-hazirlama-gerecleri,80320060.0
804,ekmek-kutusu-saklama-kaplari,231100.0
805,oturma-odalari,18021303.0
806,yatak-odalari,18021301.0
807,calisma-odalari,18021307.0
808,antre-holler,18021305.0
809,mutfak-mobilya-dekorasyon,18021304.0
810,yemek-odalari,18021302.0
811,genc-odalari,18021386.0
812,bahce-mobilyalari,34001194.0
813,avizeler,13003223.0
814,lambaderler,13003232.0
815,abajurlar,13007266.0
816,masa-lambalari,13003235.0
817,aplikler,13006543.0
818,ampuller,13003202.0
819,nevresim-takimlari,510001.0
820,yorganlar,510009.0
821,yastiklar,510008.0
822,battaniyeler,512329.0
823,halilar,9022246.0
824,perdeler,9022247.0
825,alezler,9009841.0
826,banyo-tekstili-urunleri,9010073.0
827,mutfak-urunleri,9010068.0
828,dekoratif-yastiklar,9010085.0
829,tablolar,18021320.0
830,dekoratif-objeler,60003775.0
831,mum-kokular,18021318.0
832,duvar-aynalari,18021308.0
833,duvar-kagitlari,18042736.0
834,pratik-dekorasyon-urunler,60005097.0
835,ofis-masalari,21032929.0
836,ofis-dolaplari,60001664.0
837,ofis-kitapliklari,60001817.0
838,ofis-aksesuarlari,80154009.0
839,ergonomi-urunleri,60000534.0
840,oyuncu-koltugu,80374073.0
841,ofis-mobilyalari,15312.0
842,kirtasiye-urunleri,15344.0
843,ofis-teknolojileri,15238.0
844,fotokopi-kagitlari,15117.0
845,projeksiyon-sistemleri,285390.0
846,piller-sarj-cihazlari,15365.0
847,ofis-sarf-tuketim-malzemeleri,60005124.0
848,sanatsal-malzemeler,21027386.0
849,banyo-mobilyalari,457065.0
850,dus-sistemleri,18021934.0
851,dusakabinler,18021979.0
852,banyo-aksesuarlari,18021925.0
853,banyo-bataryalari,18021947.0
854,banyo-tekstili-urunleri,9010073.0
855,vitrifiyeler,60000509.0
856,banyo-tesisatlari,454873.0
857,elektrikli-mutfak-aletleri,22001.0
858,utuler,155122.0
859,supurgeler,155123.0
860,cay-makineleri,22005.0
861,kahve-makineleri,22348.0
862,tost-makineleri,22014.0
863,blenderlar,22003.0
