,kategori,kategori_kod
184,elektrikli-mutfak-aletleri,22001.0
185,blenderlar,22003.0
186,tost-makineleri,22014.0
187,slr-fotograf-makineleri,1100301.0
188,dijital-fotograf-makineleri,248.0
189,aksiyon-kameralari,22018092.0
190,outdoor-sualti-fotograf-makineleri,60003581.0
191,drone-multikopter,60006033.0
192,fotograf-makinesi-aksesuarlari,60000190.0
193,aynasiz-kompakt-slr-makineler,60002029.0
194,video-kameralar,17076.0
195,elektronik-optik-gps-durbunler,22007482.0
196,,
197,foto-kameralari,2147483606.0
198,playstation-5,80757005.0
199,playstation-4,80226057.0
200,playstation-3,80226059.0
201,psp-vita,80226062.0
202,nintendo,80226061.0
203,playstation-2,80226063.0
204,oyunlar-oyun-konsollari,2147483602.0
205,xbox-series-x,80766000.0
206,xbox-series-s,80766004.0
207,xbox-360,80226058.0
208,xbox-one,80226056.0
209,oyuncular-ozel-bilgisayar-bilesenleri,86008.0
210,diger-oyun-konsollari,33000343.0
211,oyun-figurleri,60005206.0
212,,
213,laptop-notebook-dizustu-bilgisayarlar,98.0
214,oyuncu-laptoplari,95583.0
215,laptop-notebook-dizustu-bilgisayarlar,98.0
216,apple/tablet,3008012.0
217,samsung/tablet,3008012.0
218,lenovo/tablet,3008012.0
219,alcatel/tablet,3008012.0
220,hometech/tablet,3008012.0
221,huawei/tablet,3008012.0
222,reeder/tablet,3008012.0
223,escort-polypad-inca-dark-toshiba-asus-codegen-navitech-hometech-casper-ezcool-reeder-lenovo-quadro-fujitsu-onyo-artes-piranha-sunny-exper/tablet,3008012.0
224,casper/tablet,3008012.0
225,monitor-bilgisayarlar,116465.0
226,masaustu-bilgisayarlar,34.0
227,mini-masaustu-bilgisayarlar,111001.0
228,oyuncu-klavyeleri,1190.0
229,oyuncu-mouselari,1590.0
230,kulakliklar,520.0
231,oyun-bilgisayarlari,409.0
232,oyuncu-monitorleri,1988.0
233,oyuncu-donanimlari,499.0
234,oyuncu-koltugu,80374073.0
235,usb-bellekler,970.0
236,tasinabilir-diskler,100225.0
237,ssd-solid-state-drive,114814.0
238,hafiza-kartlari,111161.0
239,anakartlar,152.0
240,ekran-kartlari,204.0
241,bellek-ramler,47.0
242,islemciler,46.0
243,hdd-harddiskler,100221.0
244,bilgisayar-kasalari,1013.0
245,access-pointler,410.0
246,routerlar,60001272.0
247,modemler,45.0
248,mouse,52.0
249,klavye-mouse-setleri,3007055.0
250,klavyeler,1.0
251,monitorler,57.0
252,yazicilar,3013118.0
